method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
dynec,City-A,2024-01,3,800,,8,0.8157347726250661,0.6398358693413256,0.46057627989580174,,
dynec,City-A,2024-02,3,800,800.0,8,0.8248496725957292,0.6982146957565653,0.3942547689562783,0.02625,0.015588669121876224
dynec,City-A,2024-03,3,800,800.0,8,0.7964962340203511,0.6797230885384775,0.4189678813898428,0.01625,0.0035632503057226738
dynec,City-A,2024-04,3,800,800.0,8,0.7584929850173481,0.630867479752483,0.47039291708077813,0.02625,0.010927795821345692
dynec,City-A,2024-05,3,800,800.0,8,0.6714819379494127,0.629728972935164,0.4718045737119043,0.03,0.011375888947579446
dynec,City-A,2024-06,3,800,800.0,8,0.6228978474019723,0.644178357624823,0.44995756448284796,0.03625,0.01025160137274221
dynec,City-A,2024-07,3,800,800.0,8,0.5400680437219498,0.6278784433824592,0.4975584029613986,0.04,0.009573660790479612
dynec,City-A,2024-08,3,800,800.0,8,0.46902029009173085,0.5866397566948233,0.5466599685178283,0.035,0.011770111496022742
dynec,City-A,2024-09,3,800,800.0,8,0.4547637454553236,0.5596429647681213,0.5238690383400204,0.0375,0.010671085303105366
dynec,City-A,2024-10,3,800,800.0,8,0.44774967940287697,0.5697883830013666,0.5565261484046566,0.0275,0.004257593651925375
dynec,City-A,2024-11,3,800,800.0,8,0.4463234339680447,0.5463879937198105,0.5859519348170699,0.02,0.0024733413233239475
dynec,City-A,2024-12,3,800,800.0,8,0.4457784048101022,0.5662579411032855,0.5615512027795058,0.02,0.002463572936556347
dynec,City-B,2024-01,3,500,,8,0.709257839246945,0.6188490593730855,0.5383319767766732,,
dynec,City-B,2024-02,3,500,500.0,8,0.7047743603837248,0.6254880197549657,0.5358813996844696,0.01,0.010494093318537841
dynec,City-B,2024-03,3,500,500.0,8,0.704058175191917,0.6172287395624031,0.5554490635064886,0.008,0.002407297691329017
dynec,City-B,2024-04,3,500,500.0,8,0.6832478669668763,0.5906606486401668,0.5675235674951231,0.024,0.007159503032525912
dynec,City-B,2024-05,3,500,500.0,8,0.6571010527813154,0.5748929571676209,0.6420265696514091,0.02,0.0026968077586775985
dynec,City-B,2024-06,3,500,500.0,8,0.6524056297185391,0.5990138760977197,0.5898283792243173,0.018,0.0010240908395749671
dynec,City-B,2024-07,3,500,500.0,8,0.6220517849494429,0.5368092180674079,0.6640214713419554,0.036,0.004908040752806359
dynec,City-B,2024-08,3,500,500.0,8,0.6277613735748742,0.5533919280616376,0.6309564340273225,0.266,0.00598498186967371
dynec,City-B,2024-09,3,500,500.0,8,0.6052325840314818,0.5720526744257584,0.6452151097713779,0.262,0.008686431954815048
dynec,City-B,2024-10,3,500,500.0,8,0.5978432182824481,0.6055149763037639,0.6047956169311848,0.252,0.0043389343609747276
dynec,City-B,2024-11,3,500,500.0,8,0.6081734893837741,0.5639155941913992,0.6303763389940404,0.138,0.13197347603249351
